0,1,2,3,4,raio,time,7,8,raio,time,11,12,,time,15,16,,time
ret_cvxp_14_23,cvxps_size,8.698894,cutoff-w-sep-10,1.492591611,0.171584067,0.1433278,cutoff-w-sep-16,1.213633461,0.139515835,0.2382843,cutoff-w-sep-22,2.562382574,0.29456418,0.3321537,cutoff-w-sep-28,2.42139887,0.278357096,0.4454836
ret_cvxp_14_24,cvxps_size,9.503803,cutoff-w-sep-10,2.412091637,0.253802782,0.220397,cutoff-w-sep-16,2.791903198,0.293766948,0.3530557,cutoff-w-sep-22,3.132484645,0.32960328,0.4736201,cutoff-w-sep-28,3.211745489,0.337943189,0.5969478
ret_cvxp_14_25,cvxps_size,10.3811315,cutoff-w-sep-10,1.368537705,0.131829339,0.1889025,cutoff-w-sep-16,1.907026114,0.183701181,0.3107057,cutoff-w-sep-22,1.9034817,0.183359752,0.4152563,cutoff-w-sep-28,1.912014549,0.18418171,0.5525684
ret_cvxp_14_3,cvxps_size,3.488347,cutoff-w-sep-10,0.597380961,0.171250441,0.2100148,cutoff-w-sep-16,0.603886305,0.173115319,0.3294426,cutoff-w-sep-22,0.642759701,0.184259106,0.4465567,cutoff-w-sep-28,0.733993181,0.210412892,0.5653381
ret_cvxp_14_4,cvxps_size,3.553975,cutoff-w-sep-10,0.473213638,0.133150525,0.1659277,cutoff-w-sep-16,0.829544686,0.233413203,0.2670816,cutoff-w-sep-22,0.722634649,0.203331382,0.3546675,cutoff-w-sep-28,0.805310315,0.226594254,0.4641003
ret_cvxp_14_5,cvxps_size,3.4193495,cutoff-w-sep-10,0.409078199,0.119636264,0.1403852,cutoff-w-sep-16,0.501541823,0.146677555,0.2369757,cutoff-w-sep-22,0.55445579,0.162152418,0.3223654,cutoff-w-sep-28,0.54326454,0.1588795,0.4258878
ret_cvxp_16_1,cvxps_size,4.0400775,cutoff-w-sep-10,0.302665157,0.074915681,0.1420912,cutoff-w-sep-16,0.365503674,0.090469471,0.2547538,cutoff-w-sep-22,0.401210571,0.099307642,0.3368218,cutoff-w-sep-28,0.422156743,0.104492239,0.445261
ret_cvxp_16_11,cvxps_size,5.909924,cutoff-w-sep-10,0.588861682,0.099639468,0.2155628,cutoff-w-sep-16,0.81424652,0.137776141,0.331542,cutoff-w-sep-22,0.845923016,0.143136023,0.4646028,cutoff-w-sep-28,0.928836609,0.157165576,0.5865141
ret_cvxp_16_12,cvxps_size,6.489136,cutoff-w-sep-10,0.898814343,0.138510634,0.1408838,cutoff-w-sep-16,0.682755951,0.105215232,0.237257,cutoff-w-sep-22,1.012702265,0.156061187,0.3332517,cutoff-w-sep-28,0.928393766,0.143068933,0.4200275
ret_cvxp_16_13,cvxps_size,7.41841,cutoff-w-sep-10,1.181487294,0.159264222,0.2106859,cutoff-w-sep-16,1.097031844,0.147879646,0.3114731,cutoff-w-sep-22,1.526717467,0.205801171,0.4422855,cutoff-w-sep-28,1.787936692,0.241013464,0.5568351
ret_cvxp_16_14,cvxps_size,7.6445395,cutoff-w-sep-10,0.94443515,0.12354376,0.1922613,cutoff-w-sep-16,1.600507669,0.209366132,0.3197361,cutoff-w-sep-22,1.534215952,0.200694359,0.4156419,cutoff-w-sep-28,1.704825227,0.223012155,0.5264986
ret_cvxp_16_15,cvxps_size,7.069676,cutoff-w-sep-10,0.750139651,0.106106652,0.2011412,cutoff-w-sep-16,1.058038041,0.149658632,0.341357,cutoff-w-sep-22,1.099888307,0.155578319,0.4528001,cutoff-w-sep-28,1.090392869,0.154235197,0.5983944
ret_cvxp_16_2,cvxps_size,3.576911,cutoff-w-sep-10,0.493010138,0.137831257,0.1898565,cutoff-w-sep-16,0.695056123,0.194317422,0.3150856,cutoff-w-sep-22,0.722553506,0.202004888,0.4435758,cutoff-w-sep-28,0.803850116,0.224733049,0.568245
ret_cvxp_16_21,cvxps_size,11.33799,cutoff-w-sep-10,1.933282835,0.170513718,0.2133031,cutoff-w-sep-16,2.024880581,0.178592553,0.3216978,cutoff-w-sep-22,2.148856285,0.189527093,0.4468472,cutoff-w-sep-28,2.179556628,0.192234834,0.5665529
