nb_cvpx,index,cvxps_size,cutoff-w-sep-10,time_sep10,cutoff-w-sep-16,time_sep16,cutoff-w-sep-22,time_sep22,cutoff-w-sep-28,time_sep28
10,15,4.021653,0.908827889,0.1065388,0.900808366,0.1833074,0.937358885,0.2418144,1.060581943,0.3135324
10,21,6.4613885,2.118170482,0.1599597,2.240981407,0.253223,2.529565883,0.3402903,2.351073134,0.4010881
10,22,6.7769675,1.203194081,0.1392161,1.836511817,0.2139351,2.00655667,0.3010549,1.98244072,0.3879996
10,23,7.306966,1.787418243,0.1621788,1.864963503,0.2230571,2.2137921,0.3230844,2.751105708,0.4024024
10,24,5.6025865,1.258820138,0.1315901,1.332480766,0.1988646,1.714904158,0.2733922,1.814216572,0.3430746
10,25,6.762294,1.550522205,0.1099641,1.963772616,0.1858975,1.947609192,0.2477664,2.111909557,0.3174457
12,1,2.837682,0.573507616,0.1445739,0.578252757,0.1937818,0.687881888,0.2710603,0.836126652,0.3512212
12,2,2.4370415,0.643295467,0.1939042,0.680348662,0.302639,0.761345646,0.4036105,0.819980701,0.5285646
12,3,2.83817,0.437285488,0.1525036,0.512115091,0.23387,0.671907471,0.32643,0.714388859,0.4054401
12,4,2.9402995,0.414806221,0.1556435,0.578777004,0.2530378,0.721856287,0.3545837,0.823564903,0.4411198
12,5,3.098764,0.391469357,0.1511699,0.435042315,0.2239161,0.529748209,0.3117984,0.501982475,0.392091
12,11,4.9709765,1.13109282,0.1406244,1.028789546,0.2142281,1.210248928,0.2957338,1.12185794,0.3654545
12,12,5.253909,0.81111225,0.1343115,1.037048809,0.2122169,1.141786543,0.2926884,1.114835539,0.353777
12,13,5.145976,0.94684999,0.1767064,1.029079337,0.2858238,1.079342853,0.3793306,1.112631409,0.480854
12,14,5.458462,0.801186329,0.1929588,0.854126074,0.2955455,0.913588753,0.3981986,1.165808826,0.5104146
12,15,5.0984065,1.083762382,0.172669,1.234546713,0.2840209,1.572216624,0.377819,1.799118046,0.4879941
12,21,7.066614,1.321364209,0.1635766,1.55554749,0.2523159,1.645417433,0.3554302,2.001983332,0.4471419
12,22,8.669288,1.671080846,0.1427629,2.063637907,0.2165264,2.010540015,0.2960121,2.366863608,0.3816097
12,23,9.222295,1.804982984,0.1394059,1.856911909,0.2252338,2.378465493,0.3126024,2.634638122,0.3885903
12,24,7.9614795,1.516014992,0.1135615,1.667186873,0.1934043,1.940934178,0.261755,1.725722344,0.3288599
12,25,8.8407145,1.426869383,0.106658,1.656982011,0.162696,1.782588719,0.2216364,2.258782138,0.2925959
14,1,3.439528,0.5513216,0.2034347,0.57723719,0.3052111,0.697549231,0.4271496,0.745037015,0.5391558
14,2,3.5659425,0.483786852,0.1746783,0.56296399,0.2615736,0.730306655,0.3691896,0.740352502,0.4556909
14,3,3.488347,0.597380961,0.2100148,0.603886305,0.3294426,0.642759701,0.4465567,0.733993181,0.5653381
14,4,3.553975,0.473213638,0.1659277,0.829544686,0.2670816,0.722634649,0.3546675,0.805310315,0.4641003
14,5,3.4193495,0.409078199,0.1403852,0.501541823,0.2369757,0.55445579,0.3223654,0.54326454,0.4258878
14,11,5.6063695,0.87567465,0.1718229,0.929050198,0.2628978,1.302535551,0.3790164,1.278860913,0.4759556
14,12,5.998879,1.05162239,0.1776241,1.22849745,0.2648665,1.360027893,0.3772616,1.428510686,0.4506333
14,13,6.2483905,1.325897227,0.1975146,1.484576114,0.325385,1.62151403,0.4357545,1.650200033,0.5683524
14,14,5.79268,0.777484194,0.2039334,1.29247061,0.325794,1.445513596,0.4393086,1.435343017,0.5523799
14,15,6.38302,1.118031176,0.1911318,1.213745218,0.3109125,1.512281876,0.4350747,1.526638982,0.5526343
14,21,9.7459445,1.688516773,0.2129621,1.885358584,0.3446892,2.097947739,0.4569694,2.375378903,0.5984261
