nb_cvxp,idx,,nb_SECs,nb_SDCs,nb_GBCs,Time_SECs,Time_SDCs,Time_GBCs,Model time,MIPGap,ObjVal
8,14,1,14,0,14,0.0001752,0,0.2102707,0.267971039,0,34.89035403
8,15,1,2,0,10,5.02E-05,0,0.1439983,0.157970428,0,34.36042248
8,21,1.25,18,0,8,0.0002036,0,0.1171163,0.177991867,0,32.44070418
8,22,1.25,18,0,12,0.0001892,0,0.176465,0.227970123,0,45.68835977
8,23,1.25,6,0,13,6.37E-05,0,0.202536,0.241994858,0,31.26257058
8,24,1.25,8,0,10,9.79E-05,0,0.143646,0.192972183,0,29.50854267
8,25,1.25,4,0,12,4.52E-05,0,0.1698431,0.231969833,0,31.43023552
10,1,0.75,20,0,18,0.0002822,0,0.4097509,0.514997482,0,37.05605058
10,2,0.75,24,0,29,0.0003525,0,0.6737057,0.773479462,0,37.21472009
10,3,0.75,32,0,30,0.0003589,0,0.7678517,0.910970688,0,48.49228673
10,4,0.75,22,0,51,0.0002819,0,1.0964006,1.209009171,0,42.02877294
10,5,0.75,14,0,8,0.0001702,0,0.1635879,0.279003143,0,44.36520803
10,11,1,28,0,28,0.0004104,0,0.6529357,0.777961731,0,39.66425189
10,12,1,30,0,23,0.0003664,0,0.5136514,0.682970047,0,42.16984253
10,13,1,18,0,17,0.0001808,0,0.3692618,0.443967819,0,28.6996831
10,14,1,4,0,11,6.62E-05,0,0.2218825,0.27396965,0,36.56213022
10,15,1,12,0,24,0.0001496,0,0.5297632,0.614997864,0,47.63980643
10,21,1.25,12,0,8,0.0001334,0,0.1694094,0.293968201,0,38.56394752
10,22,1.25,12,0,24,0.000147,0,0.5386571,0.625967026,0,36.74261315
10,23,1.25,16,0,7,0.0001993,0,0.1402703,0.277000427,0,29.73705775
10,24,1.25,24,0,7,0.000259,0,0.1465117,0.304969788,0,32.15497999
10,25,1.25,18,0,17,0.0002097,0,0.4094055,0.516996384,0,47.22060502
12,1,0.75,42,0,9,0.000513,0,0.2660013,0.485969543,0,53.51359655
12,2,0.75,20,0,15,0.0002829,0,0.4432367,0.557012558,0,40.63905274
12,3,0.75,12,0,9,0.0001446,0,0.2526429,0.346971512,1.49E-07,43.20231998
12,4,0.75,64,0,95,0.0009199,0,3.4463775,4.977968216,0,44.57266869
12,5,0.75,32,0,11,0.0004078,0,0.3311091,0.464969635,0,40.34097793
12,11,1,6,0,16,8.61E-05,0,0.433265,0.578020096,0,33.67335883
12,12,1,10,0,32,0.0001292,0,0.9232715,1.183004379,0,53.50437207
12,13,1,16,0,16,0.0002745,0,0.4785535,0.717967987,0,39.49428731
12,14,1,30,0,29,0.0003966,0,0.8771315,1.023490906,0,31.13917697
12,15,1,4,0,5,7.35E-05,0,0.146312,0.3129673,0,39.00662943
12,21,1.25,124,0,83,0.0018199,0,2.5336498,3.332849503,0,44.92036089
12,22,1.25,26,0,16,0.0003861,0,0.4571454,0.610965729,0,47.68589908
12,23,1.25,50,0,80,0.0007223,0,2.4312101,2.804981232,8.93E-05,42.06932534
12,24,1.25,14,0,17,0.0002296,0,0.4967042,0.634994507,0,39.94792775
12,25,1.25,50,0,33,0.0006713,0,1.0033278,1.195968628,0,39.60724129
14,1,0.75,40,0,6,0.0005637,0,0.257188,0.656967163,0,47.85951717
14,2,0.75,258,0,32,0.0034804,0,1.3519453,1.819965363,0,39.84202221
14,3,0.75,22,0,16,0.000441,0,0.6963272,0.993999481,0,46.49731265
14,4,0.75,44,0,69,0.0007288,0,3.6298151,5.417966843,0,41.00070335
14,5,0.75,64,0,68,0.001081,0,2.95419,4.014965057,0,44.52301922
14,11,1,14,0,23,0.0002979,0,1.0108587,1.244970322,0,37.92161379
14,12,1,18,0,25,0.0003229,0,1.0878317,1.426973343,0,50.9775972
14,13,1,90,0,75,0.0015567,0,3.2924162,5.150484085,0,52.56262206
14,14,1,288,0,60,0.004397,0,2.6150975,3.782094955,0,51.65396953
14,15,1,40,0,22,0.0007215,0,0.9338952,1.589998245,0,42.12216337
