nb_cvxp,idx,nb_SECs,nb_SDCs,nb_GBCs,Time_SECs,Time_SDCs,Time_GBCs,Model Time,MIPGap,ObjVal
10,24,94,43,33,0.0008559,0.001414,0.8346344,0.900995255,0,31.63811499
10,25,18,6,6,0.000198,0.0002194,0.1286218,0.160009384,0,36.57340674
12,1,146,26,22,0.0014257,0.0010893,0.7612526,0.826999664,0,43.9387019
12,2,290,141,31,0.0025045,0.0038193,1.1283278,1.248996735,0,41.32606029
12,3,30,12,8,0.0002666,0.0003482,0.2770784,0.299999237,0,39.22164518
12,4,98,27,31,0.0009557,0.0010817,1.030233,1.087001801,0,39.35455879
12,5,102,17,27,0.0009958,0.0008819,0.948872,1.007997513,0,36.45866309
12,11,26,9,11,0.0002415,0.0004036,0.374535,0.399995804,0,33.67335882
12,12,126,27,29,0.0010098,0.0010391,0.9565558,1.008998871,0,46.25894982
12,13,106,46,8,0.000953,0.0012794,0.2656717,0.357973099,0,36.35182037
12,14,396,368,83,0.0033217,0.0097605,2.6135396,2.929485321,0,31.23528399
12,15,104,52,9,0.0008252,0.001186,0.2877179,0.332998276,0,38.48715666
12,21,110,29,71,0.0010231,0.001482,2.3491597,2.427997589,0,38.27657906
12,22,114,35,9,0.0009825,0.0010853,0.302796,0.369995117,0,41.57646008
12,23,320,193,71,0.0028391,0.005823,2.74606,3.019996643,0,39.31730032
12,24,134,42,41,0.0014409,0.0017455,1.4408743,1.548995972,0,39.94792776
12,25,60,14,15,0.0006493,0.0006275,0.5760537,0.617992401,0,36.08669573
14,1,382,174,12,0.0031817,0.0045891,0.5648419,0.72700119,0,42.25355909
14,2,100,37,19,0.0010471,0.00128,0.9463063,1.006998062,0,37.42301816
14,3,176,61,23,0.0014804,0.0017316,1.110016,1.184995651,0,44.74783179
14,4,174,72,59,0.0015355,0.002377,2.6243885,2.740013123,0,36.08981525
14,5,478,77,80,0.0048002,0.0038906,3.8454071,4.30701828,0,37.72555348
14,11,60,23,17,0.00061,0.0008128,0.7667408,0.824998856,0,37.92161379
14,12,70,44,9,0.0006415,0.0011067,0.3951007,0.482999802,0,43.14368009
14,13,624,239,58,0.0068135,0.0084684,3.037187,4.080030441,0,45.61826618
14,14,94,30,10,0.000874,0.000956,0.4233026,0.472009659,0,40.49365526
14,15,88,18,17,0.0008912,0.0007828,0.7539592,0.86198616,0,39.22205759
14,21,396,235,92,0.0037339,0.0085079,4.5800635,4.890792847,0,43.95813873
14,22,466,120,92,0.0044389,0.0046021,4.3206527,4.598731995,0,39.65107651
14,23,170,40,56,0.0017154,0.0018055,2.5345993,2.656511307,0,43.07186915
14,24,1354,3224,89,0.0134022,0.0965855,4.8475964,11.0549984,0,41.75314377
14,25,438,225,57,0.00383,0.0056572,2.5009956,2.786975861,0,35.88356719
16,1,132,56,82,0.0012977,0.0023343,4.0146161,4.171596527,0,43.98665842
16,2,80,29,25,0.0009456,0.0011983,1.4340637,1.535001755,0,49.23313799
16,3,156,42,20,0.0014113,0.0013141,1.0482548,1.146968842,0,39.83035594
